Group,Family,Common Name,Scientific Name,Occurrence ,Habitat
Basses,Serranidae,Sea goldie,Pseudanthias squamipinnis,common,"Reef associated, near corals"
Basses,Serranidae,Yellow-edged lyretail,Variola louti,uncommon,"Reef associated, near corals"
Dottybacks,Pseudochromidae,Dark dottyback,Pseudochromis melas,uncomon,"Reef associated, near corals"
Hawkfishes,Cirrhitidae,Coral hawkfish,Cirrhitichthys oxycephalus,occasional,perched on live coral and rubble
Hawkfishes,Cirrhitidae,Blackside hawkfish,Paracirrhites forsteri,occasional,perched on live coral and rubble
Hawkfishes,Citharidae,Arc-eye hawkfish,Paracirrhites arcatus,occasional,perched on live coral and rubble
Cardinalfishes,Apogonidae,Goldbelly cardinalfish,Apogon apogonides,occasional,"Reef associated, near holes and crevices, nocturnal"
Cardinalfishes,Apogonidae,Ring-tailed cardinalfish,Apogon aureus,occasional,"Reef associated, near holes and crevices, nocturnal"
Cardinalfishes,Apogonidae,Cook's cardinalfish,Apogon cookii,occasional,"Reef associated, near holes and crevices, nocturnal"
Cardinalfishes,Apogonidae,Yellow-striped cardinalfish,Apogon cyansoma,occasional,"Reef associated, near holes and crevices, nocturnal"
Cardinalfishes,Apogonidae,Flower cardinalfish,Apogon fleurieu,occasional,"Reef associated, near holes and crevices, nocturnal"
Cardinalfishes,Apogonidae,Iridescent cardinalfish,Apogon kallopterus,occasional,"Reef associated, near holes and crevices, nocturnal"
Cardinalfishes,Apogonidae,Bluestreak cardinalfish,Apogon leptacanthus,occasional,"Reef associated, near holes and crevices, nocturnal"
Cardinalfishes,Apogonidae,Blackstripe cardinalfish,Apogon nigrofasciatus,occasional,"Reef associated, near holes and crevices, nocturnal"
Cardinalfishes,Apogonidae,Orange-lined cardinalfish,Archamia furcata,occasional,"Reef associated, near holes and crevices, nocturnal"
Cardinalfishes,Apogonidae,Large toothed cardinalfish,Cheilodipterus macrodon,occasional,"Reef associated, near holes and crevices, nocturnal"
Cardinalfishes,Apogonidae,Five-lined cardinalfish,Cheilodipterus quinquelineatus,occasional,"Reef associated, near holes and crevices, nocturnal"
Bigeyes,Priacanthidae,Goggle-eye,Priacanthus hamrur,occasional,"Reef associated, near holes and crevices, nocturnal"
Mojarras,Gerreidae,Slenderspine mojarra,Gerres acinaces,occasional,Sand/rubble adjacent to coral reef
Mojarras,Gerreidae,Blacktip mojarra,Gerres oyena,occasional,Sand/rubble adjacent to coral reef
Remoras,Echeneidae,Sharksucker,Echeneis naucrates,occasional,Associated with larger fish along reef edge and drop off.
Remoras,Echeneidae,Remora,Remora remora,occasional,Associated with larger fish along reef edge and drop off.
Dolphinfish,Coryphaenidae,Common dolphinfish,Coryphaena hippurus,uncommon, in open water swimming past reefs
Jacks and Trevallys,Carangidae,Yellow-dotted trevally,Carangoides fulvoguttatus,occasional,Reef edge/drop offs
Jacks and Trevallys,Carangidae,Barcheek trevally,Carangoides plagiotaenia,occasional,Reef edge/drop offs
Jacks and Trevallys,Carangidae,Bluefin trevally,Caranx melampygus,occasional,Reef edge/drop offs
Jacks and Trevallys,Carangidae,Bigeye trevally,Caranx sexfasciatus,occasional,Reef edge/drop offs
Jacks and Trevallys,Carangidae,Indian scad,Decapterus russelli,occasional,Reef edge/drop offs
Jacks and Trevallys,Carangidae,Rainbow runner,Elagatis bipinnulata,occasional,Reef edge/drop offs
Jacks and Trevallys,Carangidae,Golden trevally,Gnathanodon speciosus,occasional,Reef edge/drop offs
Jacks and Trevallys,Carangidae,Talang queenfish,Scomberoides commersonnianus,occasional,Reef edge/drop offs
Jacks and Trevallys,Carangidae,Doublespotted queenfish,Scomberoides lysan,occasional,Reef edge/drop offs
Jacks and Trevallys,Carangidae,Smallspotted dart,Trachinotus baillonii,occasional,Reef edge/drop offs
Jacks and Trevallys,Carangidae,Snubnose pompano,Trachinotus blochii,occasional,Reef edge/drop offs
Snappers,Lutjanidae,Green jobfish,Aprion virescens,uncommon,Reef edge/drop offs
Snappers,Lutjanidae,Mangrove red snapper,Lutjanus argentimaculatus,occasional,Reef edge/drop offs
Snappers,Lutjanidae,Two-spot red snapper,Lutjanus bohar,occasional,Reef edge/drop offs
Snappers,Lutjanidae,Flametail snapper,Lutjanus fulvus,occasional,Reef edge/drop offs
Snappers,Lutjanidae,Humpback red snapper,Lutjanus gibbus,occasional,Reef edge/drop offs
Snappers,Lutjanidae,Common bluestripe snapper,Lutjanus kasmira,occasional,Reef edge/drop offs
Snappers,Lutjanidae,Bigeye snapper,Lutjanus lutjanus,occasional,Reef edge/drop offs
Snappers,Lutjanidae,Onespot snapper,Lutjanus monostigma,occasional,Reef edge/drop offs
Snappers,Lutjanidae,Blubberlip snapper,Lutjanus rivulatus,occasional,Reef edge/drop offs
Snappers,Lutjanidae,Brownstripe snapper,Lutjanus vitta,occasional,Reef edge/drop offs
Snappers,Lutjanidae,Black and white snapper,Macolor niger,occasional,Reef edge/drop offs
Fusiliers,Caesionidae,Blue and gold fusilier,Caesio caerulaurea,occasional, Schools in water column along reef edges
Fusiliers,Caesionidae,Lunar fusilier,Caesio lunaris,occasional, Schools in water column along reef edges
Fusiliers,Caesionidae,Yellow and blueback fusilier,Caesio teres,occasional, Schools in water column along reef edges
Fusiliers,Caesionidae,Yellowback fusilier,Caesio xanthonota,occasional, Schools in water column along reef edges
Fusiliers,Caesionidae,Goldband fusilier,Pterocaesio chrysozona,occasional, Schools in water column along reef edges
Fusiliers,Caesionidae,Banana fusilier,Pterocaesio pisang,occasional, Schools in water column along reef edges
Fusiliers,Caesionidae,Dark-banded fusilier,Pterocaesio tile,occasional, Schools in water column along reef edges
Sweetlips,Haemulidae,Painted sweetlips,Diagramma pictum,occasional,"Reef associated, near corals and along drop offs"
Sweetlips,Haemulidae,Giant rubberlip,Plectorhinchus albovittatus,occasional,"Reef associated, near corals and along drop offs"
Sweetlips,Haemulidae,Lemon sweetlip,Plectorhinchus flavomaculatus,occasional,"Reef associated, near corals and along drop offs"
Sweetlips,Haemulidae,Oriental sweetlip,Plectorhinchus orientalis,occasional,"Reef associated, near corals and along drop offs"
Sweetlips,Haemulidae,Blackspotted rubberlip,Plectorhinchus gaterinus,occasional,"Reef associated, near corals and along drop offs"
Sweetlips,Haemulidae,Whitebarred rubberlip,Plectorhinchus playfairi,occasional,"Reef associated, near corals and along drop offs"
Sweetlips,Haemulidae,Minstrel sweetlip,Plectorhinchus schotaf,occasional,"Reef associated, near corals and along drop offs"
Spinecheeks,Nemipteridae,Bridled monocle bream,Scolopsis frenatus,occasional,Hovers near bottom along reef edges
Spinecheeks,Nemipteridae,Arabian spinecheek,Scolopsis ghanam,occasional,Hovers near bottom along reef edges
Spinecheeks,Nemipteridae,Whitecheek monocle bream,Scolopsis vosmeri,occasional,Hovers near bottom along reef edges
Emperors,Lethrinidae,Striped large-eye bream,Gnathodentex aureolineatus,occasional,"Reef associated, near corals and along drop offs"
Emperors,Lethrinidae,Snubnose emperor,Lethrinus borbonicus,occasional,"Reef associated, near corals and along drop offs"
Emperors,Lethrinidae,Red-axil emperor,Lethrinus conchyliatus,occasional,"Reef associated, near corals and along drop offs"
Emperors,Lethrinidae,Longfin emperor,Lethrinus erythopterus,occasional,"Reef associated, near corals and along drop offs"
Emperors,Lethrinidae,Thumbprint emperor,Lethrinus harak,occasional,"Reef associated, near corals and along drop offs"
Emperors,Lethrinidae,Pink ear emperor,Lethrinus lentjan,occasional,"Reef associated, near corals and along drop offs"
Emperors,Lethrinidae,Orange-striped emperor,Lethrinus obsoletus,occasional,"Reef associated, near corals and along drop offs"
Emperors,Lethrinidae,Longface emperor,Lethrinus olivaceus,occasional,"Reef associated, near corals and along drop offs"
Emperors,Lethrinidae,Spotcheek emperor,Lethrinus rubrioperculatus,occasional,"Reef associated, near corals and along drop offs"
Emperors,Lethrinidae,Humpnose big-eye bream,Monotaxis grandoculis,occasional,"Reef associated, near corals and along drop offs"
Goatfishes,Mullidae,Yellow-striped goatfish,Mulloidichthys flavolineatus,occasional,Sand/rubble adjacent to coral reef
Goatfishes,Mullidae,Yellowfin goatfish,Mulloidichthys vanicolensis,occasional,Sand/rubble adjacent to coral reef
Goatfishes,Mullidae,Dash-and-dot goatfish,Parupeneus barberinus,common,Sand/rubble adjacent to coral reef
Goatfishes,Mullidae,Two-barred goatfish,Parupeneus bifasciatus,occasional,Sand/rubble adjacent to coral reef
Goatfishes,Mullidae,White-lined goatfish,Parupeneus cilatus,occasional,Sand/rubble adjacent to coral reef
Goatfishes,Mullidae,Yellowsaddle goatfish,Parupeneus cyclostomus,occasional,Sand/rubble adjacent to coral reef
Goatfishes,Mullidae,Indian goatfish,Parupeneus indicus,occasional,Sand/rubble adjacent to coral reef
Goatfishes,Mullidae,Longbarbel goatfish,Parupeneus macronema,common,Sand/rubble adjacent to coral reef
Goatfishes,Mullidae,Sidespot goatfish,Parupeneus pleurostigma,uncommon,Sand/rubble adjacent to coral reef
Goatfishes,Mullidae,Rosy goatfish,Parupeneus rubescens,uncommon,Sand/rubble adjacent to coral reef
Sweepers,Pempheridae,Pygmy sweeper,Pempheris guentheri,uncommon,"Reef associated, near holes and crevices, nocturnal"
Sweepers,Pempheridae,Copper sweeper,Pempheris oulensis,common,"Reef associated, near holes and crevices, nocturnal"
Sweepers,Pempheridae,Schwenk's sweeper,Pempheris schewenkii,uncommon,"Reef associated, near holes and crevices, nocturnal"
Sweepers,Pempheridae,Vanikoro sweeper,Pempheris vanicolensis,common,"Reef associated, near holes and crevices, nocturnal"
Chubs,Kyphosidae,Highfin chub,Kyphosus cinerascens,occasional,"Reef associated, near corals or along reef edge"
Chubs,Kyphosidae,Lowfin chub,Kyphosus vaigiensis,occasional,"Reef associated, near corals or along reef edge"
Spadefishes,Ephippidae,Tiera batfish,Platax boersi,uncommon,"Reef associated, near corals or along reef edge"
Spadefishes,Ephippidae,African spadefish,Tripterodon orbis,occasional,"Reef associated, near corals or along reef edge"
Monos,Monodactylidae,Mono,Monodactylus argenteus,occasional,"Reef associated, near corals"
Butterflyfishes,Chaetodontidae,Threadfin butterflyfish,Chaetodon auriga,common,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Bennett's butterflyfish,Chaetodon bennetti,common,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Speckled butterflyfish,Chaetodon citrinellus,uncommon,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Saddleback butterflyfish,Chaetodon falcula,occasional,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Peppered butterflyfish,Chaetodon guttatissimus,common,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Yellow teardrop butterflyfish,Chaetodon interuptus,uncommon,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Sunburst butterflyfish,Chaetodon kleinii,common,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Somali butterflyfish,Chaetodon leucopleura,occasional,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Lined butterflyfish,Chaetodon lineolatus,occasional,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Raccoon butterflyfish,Chaetodon lunula,common,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Seychelles butterflyfish,Chaetodon madagaskariensis,occasional,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Blackbacked butterflyfish,Chaetodon melannotus,common,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Scrawled butterflyfish,Chaetodon meyeri,occasional,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Chevron butterflyfish,Chaetodon trifascialis,common,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Melon butterflyfish,Chaetodon trifasciatus,common,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Teardrop butterflyfish,Chaetodon unimaculatus,uncommon,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Vagabond butterflyfish,Chaetodon vagabundus,common,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Yellowhead butterflyfish,Chaetodon xanthocephalus,occasional,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Zanzibar butterflyfish,Chaetodon zanzibarensis,common,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Longnose butterflyfish,Forcipiger flavissimus,occasional,"Reef associated, near live corals"
Butterflyfishes,Chaetodontidae,Pennant coralfish,Heniochus acuminatus,occasional,"Reef associated, near drop offs"
Butterflyfishes,Chaetodontidae,Masked bannerfish,Heniochus monoceros,occasional,"Reef associated, near drop offs/deep reef"
Angelfishes,Pomacanthidae,Dusky cherubfish,Centropyge bispinosus,uncommon,"Reef associated, near live corals"
Angelfishes,Pomacanthidae,Multi-spine cherubfish,Centropyge multispinis,occasional,"Reef associated, near live corals"
Angelfishes,Pomacanthidae,African cherubfish,Centropyge acanthops,uncommon,"Reef associated, near live corals"
Angelfishes,Pomacanthidae,Goldtail angelfish,Pomacanthus chrysurus,occasional,"Reef associated, near live corals"
Angelfishes,Pomacanthidae,Emperor angelfish,Pomacanthus imperator,occasional,"Reef associated, near live corals"
Angelfishes,Pomacanthidae,Yellowbar angelfish,Pomacanthus maculosus,occasional,"Reef associated, near live corals"
Angelfishes,Pomacanthidae,Semicircle angelfish,Pomacanthus semicirculatus,occasional,"Reef associated, near live corals"
Angelfishes,Pomacanthidae,Royal angelfish,Pygoplites diacanthus,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Scissortail sergeant,Abudefduf sexfasciatus,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,False-eye sergeant,Abudefduf sparoides,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Indo-Pacific sergeant,Abudefduf vaigiensis,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,White-belly damsel,Amblyglyphidodon leucogaster,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Skunk clownfish,Amphiprion akallopisos,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Twobar anemonefish,Amphiprion allardi,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Seychelles anemonefish,Amphiprion fuscocaudatus,uncommon,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Black-axil chromis,Chromis atripectoralis,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Chocolate dip chromis,Chromis dimidiata,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Scaly chromis,Chromis lepidolepis,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Blacktail chromis,Chromis nigura,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Doublebar chromis,Chromis opercularis,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Kenyan chromis,Chromis pembae,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Ternate chromis,Chromis ternatensis,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Blue-green chromis,Chromis viridis,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Weber's chromis,Chromis weberi,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Buff chromis,Chromis xutha,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Footballer demoiselle,Chrysiptera annulata,common,in shallow grass/surge areas
Damselfishes,Pomacentridae,Grey demoiselle,Chrysiptera glauca,common,in shallow sand/surge areas
Damselfishes,Pomacentridae,Surge demoiselle,Chrysiptera leucopoma,common,in shallow rubble areas
Damselfishes,Pomacentridae,Whitetail dascyllus,Dascyllus aruanus,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Indian dascyllus,Dascyllus carneus,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Threespot dascyllus,Dascyllus trimaculatus,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Bowtie damselfish,Neoglyphidodon melas,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Yellowtail demoiselle,Neopomacentrus azysron,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Regal demoiselle,Neopomacentrus cyanomos,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,African demoiselle,Neopomacentrus fuliginosus,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Dick's damsel,Plectroglyphidodon dickii,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Johnston damsel,Plectroglyphidodon johnstonianus,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Jewel damsel,Plectroglyphidodon lacrymatus,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Phoenix damsel,Plectroglyphidodon phoenixensis,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Baensch's damsel,Pomacentrus baenschi,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Caerulean damsel,Pomacentrus caeruleus,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Blue damsel,Pomacentrus pavo,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Sulphur damsel,Pomacentrus sulfureus,common,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Paletail damsel,Pomacentrus trichourus,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Threeline damsel,Pomacentrus trilineatus,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Pacific gregory,Stegastes fasciolatus,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Blunt snout gregory,Stegastes lividus,occasional,"Reef associated, near live corals"
Damselfishes,Pomacentridae,Dusky farmerfish,Stegastes nigricans,common,"Reef associated, near live corals"
Wrasses,Labridae,Bluespotted wrasse,Anampses caeruleopunctatus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Lined wrasse,Anampses lineatus,common,"Reef associated, near live corals"
Wrasses,Labridae,White-spotted wrasse,Anampses melanurus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Yellowtail wrasse,Anampses meleagrides,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Yellowbreasted wrasse,Anampses twistii,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Lyretail hogfish,Bodianus anthioides,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Axilspot hogfish,Bodianus axillaris,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Tarry hogfish,Bodianus bilunulatus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Diana's hogfish,Bodianus diana,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Red-banded wrasse,Cheilinus fasciatus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Tripletail wrasse,Cheilinus trilobatus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Napoleon wrasse,Cheilinus undulatus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Cigar wrasse,Cheilio inermis,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Exquisite wrasse,Cirrhilabrus exquisitus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,African coris,Coris africana,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Clown coris,Coris aygula,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Spottail coris,Coris caudimacula,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Queen coris,Coris formosa,common,"Reef associated, near live corals"
Wrasses,Labridae,Knife razorfish,Cymolutes praetextatus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Slingjaw wrasse,Epibulus insidiator,occasional,"Reef associated, near live corals"
